,종목코드,회사명,NCAV,PEGR,PSR,유동비율,부채비율
0,058820,CMG제약,0.2163331921279649,18.310179539870166,9.448378683525986,1069.54,7.85
1,000990,DB하이텍보통주,0.02865332607895537,4.113681114476702,2.670784366612537,174.09,48.29
2,050120,ES큐브,-0.02191563994802156,-0.0,2.2925468035520735,90.15,12.4
3,023150,MH에탄올보통주,-0.3018969554376066,-0.0,1.2533292013963548,117.69,69.27
4,002360,SH에너지화학보통주,0.36123714892883807,-0.0,1.1435263502419795,917.82,29.79
5,009160,SIMPAC보통주,0.1766953469942262,-0.5710314893939454,0.7791317918165905,125.85,51.22
6,100840,SNT에너지보통주,0.7798734091473557,0.07389302856927787,0.5777129744207388,257.09,40.37
7,036530,SNT홀딩스보통주,0.07313258629069856,0.02414887063917077,11.949311943896232,8808.28,0.07
8,002710,TCC스틸보통주,-0.5072977923455124,-0.5779971092714175,0.3207135900567354,92.8,165.86
9,079940,가비아,-0.0919517293804637,0.7534612655234508,3.2837712560650454,80.56,68.07
10,035250,강원랜드보통주,0.20227687157402327,-1.5799257314650026,11.336079690036225,452.28,12.06
11,002100,경농보통주,0.15763640308059443,-4.703216375199555,1.7808565995593393,158.64,51.62
12,009450,경동나비엔보통주,0.022822286820865845,-2.573253652568193,0.9278541613908166,125.21,90.27
13,012320,경동인베스트보통주,0.3508854741576587,-1.5158193763152992,12.468501986755149,3110.59,0.47
14,000050,경방보통주,-1.0657341343310802,0.5442069494718638,1.600806699047165,30.22,59.64
15,214390,경보제약보통주,0.14118594819394908,-2.16985802115874,1.3492270664468156,147.38,62.27
16,012610,경인양행보통주,-0.10940949077837389,0.502168804617631,1.2911415159996313,107.54,101.53
17,198440,고려시멘트,0.12427024519761361,0.49615783571929795,1.781651448356442,367.97,24.88
18,098460,고영테크놀러지,0.09554355122667917,-96.87423429614788,10.052708622467891,715.4,19.97
19,035290,골드앤에스,0.06132568070915917,-0.0,11.421165148590655,429.98,42.42
20,215000,골프존,-0.025931395523641928,-1.468979781040482,2.0119306820244063,147.28,52.27
21,121440,골프존뉴딘홀딩스,-0.1689961922161433,-0.0,5.313521204224225,372.85,20.05
22,017040,광명전기보통주,0.40781179540809964,-2.4416242004094775,0.9261655299193371,205.86,51.25
23,029480,광무,0.1348195783483478,-0.0,2.013387068901033,191.88,53.17
24,037710,광주신세계보통주,0.20744469026548673,3.318023733773643,1.8385443501369416,201.12,12.34
25,053270,구영테크,-0.35049011980706396,-25.063564573075404,1.515064973067305,83.14,157.34
26,005320,국동보통주,0.12511443570162123,-0.0,1.0329671593507472,141.94,103.36
27,066620,국보디자인,-0.05774099616858237,0.587285140091776,0.6427026409414893,98.2,63.17
28,006050,국영지앤엠,0.13415592230642812,2.302943034976633,1.5446128436306215,215.19,37.28
29,083450,글로벌스탠다드테크놀로지,0.27134255908864896,0.170267689130381,1.3177219656179051,370.18,22.81
30,214330,금호에이치티보통주,0.2780555783260923,-0.0,1.5486612904722483,173.94,46.97
31,036190,금화피에스시,0.6232829977628636,1.2925750370585958,0.8688468827445462,568.01,11.04
32,013700,까뮤이앤씨보통주,-0.31166615191150876,-0.28562808059864203,0.6128106560975508,105.83,100.83
33,121600,나노신소재,0.168097854688925,-121.90823927887105,6.304570740252316,718.63,15.51
34,089600,나스미디어,0.24990227146077135,1.2634883096010046,4.395589329498649,155.21,115.73
35,130580,나이스디앤비,0.18186318631863185,0.6318782237850162,2.5793933765609527,302.07,26.38
36,034310,NICE보통주,-0.22350865330733713,-1.1427396734003967,16.618027500578645,12.19,51.5
37,008350,남선알미늄보통주,0.04214510720455238,-2.7603733871140603,1.6128273533849224,190.3,59.1
38,004270,남성보통주,-0.16598962173592466,-0.0,2.147372217243261,86.16,104.57
39,094860,네오리진,0.03030060405490761,-0.0,11.86603361132234,575.17,19.24
40,212560,네오오토,-0.16985321988357932,-0.8461561893112307,0.5723638841181652,106.22,74.64
41,095660,네오위즈,0.18181148162586866,0.6317436291641331,2.2986786533986256,340.12,14.14
42,092730,네오팜,0.3553713905947552,0.396237731464268,3.3800230961382756,753.01,13.14
43,153460,네이블커뮤니케이션즈,0.4427199914020834,-0.0,3.420299636732334,844.26,10.64
44,033640,네패스,-0.05530020620688467,1.7524367842012472,3.2341637488714743,192.41,80.64
45,005720,넥센보통주,0.12387069116082629,-0.26591229431322916,0.7129377938850142,165.24,17.01
46,089140,넥스턴바이오사이언스,0.3105765230599549,-0.9076581747696569,21.344530098092115,3228.57,2.67
47,137940,넥스트아이,0.190247693054881,-0.0,5.597243024792526,160.47,37.25
48,160550,넥스트엔터테인먼트월드,-0.04817556690311949,-0.0,5.734042110178907,81.97,64.74
49,225570,넥슨게임즈,0.12403897717611667,-0.0,4.696026150434977,534.38,42.22
50,090350,노루페인트 보통주,-0.1693181818181818,0.4626356067873124,0.39638639746024423,116.03,94.44
51,000320,노루홀딩스보통주,-0.005849254351810107,-1.164768201859527,8.956489084378251,324.26,20.43
52,006280,녹십자보통주,0.045093520056966534,-0.0,3.431447121223106,188.14,69.3
53,005250,녹십자홀딩스보통주,-0.1991097850426803,-9.594668989277825,20.802603522244475,32.24,71.31
54,004370,농심보통주,0.11040227785413151,-0.793156177974822,0.8189338495512182,157.85,25.8
55,072710,농심홀딩스보통주,0.007085066248494353,-0.422792116533595,18.24727909387803,1323.32,0.79
56,069140,누리플랜,-0.23310804315165712,-0.0,1.3936600501199723,71.07,77.72
57,040160,누리플렉스,-0.01789471285004371,0.8385219898726876,1.2741840599717993,141.03,61.47
