,종목코드,코스피 일일변동 평균,코스피 샤프지수
0,095570,0.2100438266457417,20.39228016727055
1,006840,0.2029653326104446,16.470180698138567
2,027410,0.2948366288108614,34.73847221578985
3,282330,0.1020541356146006,9.463181184264396
4,138930,0.1933879489263016,27.247812941041666
5,001460,0.260026831064065,45.57573162036544
6,001465,0.2075948518026188,31.119870753696667
7,001040,0.1807635750382391,21.02853140622091
8,079160,0.2728057429435535,18.916207376085737
9,00104K,0.2481877511950058,38.20172758213651
10,000120,0.1440434788958315,19.32673084141619
11,011150,0.2554660756495641,4.68735072305373
12,011155,0.178611568727989,0.0284497846965476
13,001045,0.2496258090832193,35.07020185106626
14,097950,0.289312706221811,38.49725397258687
15,097955,0.3202881791537654,48.57284095547642
16,000590,0.2478098108674515,14.060042269491674
17,012030,0.1969479165749534,26.583021628694812
18,016610,0.3124908096092449,44.99288767169735
19,005830,0.1524626887663154,19.35286561719654
20,000990,0.4451421570303656,49.648820281067145
21,000995,0.6412982914523205,25.21189220472486
22,139130,0.2721364581435398,40.99171009701901
23,001530,0.5509791695944891,61.54516347139047
24,000210,0.1652866229442884,8.235679322680928
25,000215,0.2151964540598505,15.314914463783998
26,375500,0.93964318032473,
27,37550K,-0.9642425687315264,
28,004840,0.366890317963515,21.67955545607411
29,155660,0.3220536217324727,21.39779623497444
30,069730,0.275713414261986,30.46120652544563
31,017940,0.2007481372296357,27.513254565358796
32,365550,-1.114971303772473,
33,007700,0.1754847153340064,13.209850173706732
34,114090,0.1178657369047926,11.741366957684676
35,078930,0.0466613431839916,4.486988253641992
36,006360,0.335430866009978,47.08967570828838
37,001250,0.3175420966171194,36.350778137958244
38,007070,0.1103491595007678,13.654515561459462
39,078935,0.0718345210910575,15.572268244435651
40,012630,0.1964376700460832,19.339934235270338
41,039570,0.1794854803395664,22.897688765229635
42,089470,0.3777628781165854,36.70265069196719
43,294870,0.302264439018955,28.795292560598117
44,011200,0.9911957212596187,204.45205697059816
45,082740,0.6078278695126377,65.81989713174933
46,003560,0.2391256473800491,23.8519489265152
47,175330,0.1699935296204737,27.355222219885384
48,234080,0.1512368005005524,13.03941236167718
49,001060,0.0303495712002199,0.4251042981486354
50,001067,0.4661656603809901,10.948505757926823
51,001065,0.3326880676063978,5.307368689594415
52,096760,0.0104172500200613,-1.5968514766834787
53,105560,0.2271669095108626,31.637295313983174
54,002380,0.2798221332474085,32.697700424864806
55,009070,0.6383627124473462,41.311608593622225
56,009440,0.1792206268300177,15.442433763614458
57,119650,0.5194958557755002,34.923873655952995
58,092220,0.6730866843693544,45.08317291255397
59,016380,0.4569882690741494,23.88981663842366
60,016385,,
61,001390,0.431862145470149,45.89486994018932
62,001940,0.2467344673407324,52.244070413249744
63,025000,0.1783757209835592,23.606115201268786
64,092230,0.2486854614297017,12.185227255131158
65,000040,0.4633960687986752,21.853372278447324
66,044450,0.2233630659587234,31.77297601895177
67,030200,0.1546077183047223,30.068330113004624
68,033780,0.0451986236211043,9.49293875619334
69,030210,0.3940340848742567,49.04679964788637
70,058850,0.3003977864977601,31.11571097013899
71,058860,0.3033116384763212,38.279897727686844
72,093050,0.1986194888228556,22.34673046837126
73,003550,0.2110651131318318,22.396682183148506
74,034220,0.3268015783379548,42.73032619227429
75,001120,0.5655462770352356,73.53676030868311
76,051900,0.1573962642607412,22.60168009220209
77,051905,0.0396132151831714,6.470350076384958
78,003555,0.2816401454233103,35.42098960980266
79,032640,0.0681783179149989,8.153556862243887
80,011070,0.2868027930856133,28.560429388494327
81,066570,0.5210463629694996,59.68744228958609
82,066575,0.6389192670235495,72.75828927490343
83,108670,0.3992005209886349,47.798638639896886
84,108675,0.4329883266607123,45.28920555854814
85,037560,0.2126971965320116,28.52221411982926
86,051910,0.444568403721341,55.15646061656028
87,051915,0.4478042177997985,49.50148534301371
88,079550,0.3367189081217959,37.818074487328666
89,006260,0.4048959261542207,38.66025407377135
90,010120,0.2747637297590949,25.005234594689316
91,000680,0.3534274504792007,21.289598318177482
92,229640,0.0713399832826677,10.869240119276371
93,023150,0.0815867094282092,1.717932125914624
94,035420,0.3542088318067103,52.91277894116155
95,181710,0.0407216081793487,2.6592723530716755
96,005940,0.1304541507822491,16.69810566203306
97,005945,0.1194479138993414,25.944565326876805
98,338100,-0.0338831440288682,-13.222126412619915
99,034310,-0.0129992678175868,-3.0195239866257864
100,008260,0.4298990633063446,48.02912502315044
101,004250,0.1634574251698002,22.683778893923588
102,004255,0.1246356192212498,16.57986940455236
103,010060,0.6040946057812523,58.857602211258026
104,005490,0.3062068226408135,45.52612626641047
105,010950,0.1814342304082172,16.52094059475553
106,010955,0.1701365264707812,19.560884086967313
107,034120,0.1597299597179689,13.009317980548072
108,101060,,
109,005090,0.2147663326736083,16.240735899584045
110,004060,0.1852245294172314,13.493667443176184
111,001380,0.5908191977691334,56.562175948615675
112,002360,0.1667569824090397,10.246872391821366
113,009160,0.1743090136800122,27.341287139128383
114,123700,0.2950211685420911,37.29103676229884
115,025530,0.1877670021954667,36.91228871497463
116,034730,0.2579551124237811,24.194793362028758
117,011790,0.5549435079209376,75.64513075580759
118,018670,0.2480176214811996,24.69710965036925
119,001740,0.1120032027709054,9.898424135594034
120,001745,0.3936445658734074,8.000539082905204
121,006120,0.5321706644527454,42.451878330656925
122,006125,0.6828214546488368,32.49208379797726
123,210980,0.2322604114167135,15.536484450594847
124,068400,0.1828328657282323,23.142500669859405
125,302440,144.7108114254919,
126,326030,-0.0033986237579253,
127,03473K,0.4471757543659922,18.416963734958568
