,종목코드,코스닥 일일변동 평균,코스닥 샤프지수
0,060310,0.1336588386945751,10.410059182988554
1,054620,0.2159656339923139,16.67018937773279
2,265520,0.0899487560346934,8.429506229818845
3,211270,0.4897296870694457,44.82281102725778
4,035760,0.1598526409702182,17.191298478636785
5,051500,0.2163712233538967,21.82255337375961
6,058820,0.1089778431810107,7.606313679680003
7,023460,0.3194471584941427,37.100120263705364
8,056000,0.0394910365730538,-4.7417434340859765
9,065770,0.2212401220745562,17.83691617774371
10,083660,-0.2472691237911851,-16.198798600079627
11,367340,0.1152411486956988,
12,367360,-0.137604566377185,
13,068790,0.4383802720504837,51.054543530781906
14,241520,0.7109419895948248,42.998401426613746
15,245620,-0.15286679686472,-13.281937938821622
16,037370,0.2892607431241755,21.697316688201145
17,079190,0.0,-inf
18,130500,0.353366899017496,12.352465208259964
19,900290,-0.0547883544831024,-8.572733615398178
20,083450,0.3041673733877746,29.75404323975434
21,028150,,
22,045890,,
23,078150,0.1855611082934989,17.62833539431921
24,036640,0.5477693051955193,53.3287966574325
25,335870,0.0418768734019699,13.792061547565103
26,351340,-0.3642249436805644,
27,351320,0.0978606227820912,
28,373200,-3.77238511418675,
29,095340,0.4269358727390869,32.83360345875078
30,099520,0.0655208900476474,-3.2227090885769107
31,950170,0.1166770332697415,8.522249513903965
32,067290,0.1924618639707959,16.693663034613255
33,035900,0.3330350422796969,32.321589530576894
34,024840,0.3958419568923224,44.11590461105707
35,024120,0.4006404484880019,27.26302369011729
36,021320,0.2787574437951756,43.734363884464265
37,036670,0.1130088540246053,14.284080752186593
38,044180,-0.1813561786976569,30.963166822463428
39,151860,0.2540434513892723,22.165307297782245
40,046440,0.3867170607047955,28.933911968067164
41,035600,0.0509807431418193,2.815166941918244
42,060720,0.1517557415365074,12.566266517704454
43,122450,0.8231102498652094,20.08001738910885
44,052900,0.5144228375327995,33.53195910057108
45,058400,0.4832356684319071,25.168420763921574
46,114450,0.3838112603083431,9.989915689294495
47,036030,0.5265043554867457,26.487859684273822
48,060370,0.3768373079504045,26.291337216646333
49,065150,-0.3273326579637105,-15.425656348511819
50,219550,0.3434307756847812,9.42052152431632
51,160550,0.7528947489093334,92.22514795162957
52,053290,0.5807070350356321,59.8809192387554
53,104200,0.2423087299246043,26.341558223502254
54,060250,0.2814085337223705,20.65354127501609
55,030190,0.3043990568829917,33.37881646943385
56,078590,0.4067201862311554,9.910396337180853
57,178920,,
58,024940,0.5823778417763809,43.77022332402919
59,218410,0.0266166236189349,-1.3117119290360042
60,091340,-0.0021009623285484,-1.7445191549107688
61,019550,0.6027096798587173,57.19702038330437
62,950110,0.1489886151491243,10.80607180609048
63,046140,0.1477325877742014,11.76006710097634
64,036120,0.4903034868314411,29.535803443635263
65,099220,0.1687347450213366,4.994507935874201
66,036540,0.2685216489928329,17.787586874192026
67,255220,0.1825286211040966,15.11385845807076
68,040610,0.4926264588809228,37.1801345783974
69,049470,0.3913298497928525,25.252619792465303
70,184230,0.4357350139290005,33.40322566598121
71,016250,0.2256070320288065,-11.766441404986015
72,307070,,
73,337450,,
74,340350,,
75,036490,,
76,048550,0.2994795385299952,23.256755465801284
77,063440,0.5022152397782226,40.70801383451731
78,950180,,
79,289080,0.1423818367931676,0.7315505507013571
80,089230,0.3809415450234242,25.1329418576403
81,161570,0.1342362046679613,2.7135758820814955
82,032540,0.1775422096255515,19.545208524179777
83,048770,0.2888456644868364,23.990921568211444
84,246690,0.5391930584846926,46.11942406473286
85,317240,0.0738978005891505,-11.762685285545176
86,038340,-0.6494703895291983,-16.38749876491628
87,073570,0.0860200347611774,-26.256826925127935
88,052300,0.2064181404535978,11.07251741536529
89,057030,0.0964970026570323,1.3446210528659863
90,040300,0.4598338824581194,48.824700287038944
91,051390,0.1670588395001371,29.164012929781894
92,052220,0.5008876493515046,36.46170217622377
93,079940,0.2317021437403987,17.00377323476926
94,078890,0.4326281242711822,35.55896906247193
95,192410,-0.0045786134568909,200.94860882431973
96,217730,-0.0699264246184888,-6.60109589549518
97,114190,-0.0608522173780349,-6.2659419609829605
98,094480,0.6018331629062288,41.642042369504956
99,063080,0.4499593048259945,47.43997239385481
100,044480,-0.1926137228915709,-11.082050538642694
101,039240,0.3474442512667983,52.03665111818392
102,053950,0.0013876194016828,0.8592633205505988
103,223310,-0.0958073134324774,471.5573723883169
104,011040,0.2175923833289972,7.805775959259694
105,024910,0.646337364764984,75.51287844805798
106,198440,0.2948166044738328,23.262340923902517
107,049720,0.1523146835094789,25.360388007560918
108,014570,0.204270413851997,8.509066760684542
109,348150,2.175985246193957,
110,098460,0.2028651467900969,16.931492661658982
111,038530,-0.0595574717339154,-7.340775744692467
112,900280,0.3003154771874989,19.201650161803812
113,215000,0.3830781361860755,47.08792321843075
114,121440,0.5223800004089176,75.98582966000393
115,014200,0.0516399528031603,0.5393395685516437
116,026910,0.2756173014886194,29.810777237483048
117,090150,0.3269183538328027,30.560693575897474
118,355150,-0.3984940650818154,
119,331520,0.0215824922199894,10.148585765765507
120,053270,0.7312820810372161,59.102870383966355
121,066620,0.2613296233987089,29.578463326956392
122,043650,0.2960092707916399,65.1632308302608
123,006050,0.061306111493214,-0.5848977690353592
124,060480,0.0896422865033622,4.904486155576279
125,078130,0.0976760776726889,4.607661042348439
126,307750,0.6198123332662313,40.83008038234771
127,204020,0.2781012967877532,24.343166265159887
128,186230,0.5448429107860474,17.47376281672818
129,900070,0.5451627969143429,37.1182758383673
130,204620,0.095825194169562,7.495290930091158
131,019660,0.5048302287091305,31.630645751251357
